timestamp,tag,x,y,z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
1551531064,0x6e58,-616,5062,4941,100452750,391,-217,-874,-1515,2188,1953,-4,4,-1,5007,375,2643,2293,6348,-14594,3148,0,11,-4,390,-229,-869,38
1551531064,0x6737,-537,5388,4589,100399250,741,337,-562,-305,-542,521,-2,2,-1,3344,784,-2381,1924,14271,2433,7426,1,4,-11,740,332,-550,45
1551531064,0x6724,-2376,9520,4493,100300250,839,117,200,-296,-9,-232,-956,-312,-99,4928,1036,-1083,-11224,-8072,6880,-5473,-47,-269,42,887,386,158,44
1551531065,0x6726,-904,5166,4550,100324500,-922,113,-330,363,272,-1510,4,-1,2,3719,-1112,-2582,-4186,11210,-7285,-8496,-4,3,-5,-918,109,-325,40
1551531066,0x6735,-411,5097,133,100406500,-146,31,971,294,486,-246,1,0,1,4823,-151,-38,-14243,366,-1343,-7978,16,-9,8,-161,40,966,43
1551531067,0x6737,-664,5608,4929,100397000,742,338,-558,-324,-555,529,0,3,1,3344,784,-2381,1924,14271,2433,7426,0,6,-10,740,332,-550,45
1551531067,0x6e36,-2313,8588,522,100390000,403,-118,-916,-540,-68,382,-30,56,22,4628,352,2733,1845,9281,-13074,2822,36,26,-19,367,-144,-897,42
1551531067,0x6e58,-593,5055,4958,100452500,391,-218,-866,-1508,2182,1982,0,1,-1,5007,375,2643,2292,6348,-14594,3148,-1,12,-3,390,-229,-869,38
1551531067,0x6737,-566,5282,606,100394750,743,338,-560,-300,-548,500,1,1,1,3344,784,-2381,1924,14271,2433,7426,2,5,-8,740,332,-550,45
1551531067,0x6724,-2498,9931,4379,100302000,745,370,130,-302,-248,-97,125,101,17,4078,1044,-1183,-7443,-10590,2555,-9714,-145,-23,16,890,394,113,44
1551531067,0x6726,-897,5141,4579,100324000,-921,116,-331,363,265,-1524,1,-1,2,3719,-1112,-2582,-4186,11210,-7285,-8496,-3,7,-6,-918,109,-325,40
1551531069,0x6750,-3157,9398,4758,100635750,622,-147,-169,-779,598,-78,475,-451,-777,4592,1072,2193,-7871,-4571,12318,-5819,-280,113,110,902,-260,-280,41
1551531069,0x6735,-382,5106,18,100407750,-146,34,968,300,486,-273,1,4,-1,4823,-151,-38,-14243,366,-1343,-7978,14,-6,1,-161,40,966,43
1551531069,0x6737,-709,5470,312,100396000,740,340,-558,-329,-560,507,1,4,0,3344,784,-2381,1924,14271,2433,7426,1,4,-10,740,332,-550,45
1551531070,0x6e36,-2112,8049,476,100387000,351,-140,-912,-534,78,305,-455,349,1139,5278,365,2717,2790,4156,-15450,2177,-18,21,-28,379,-159,-890,42
1551531070,0x6e58,-645,5036,4921,100448500,391,-215,-873,-1515,2169,1974,0,2,-1,5007,375,2643,2292,6348,-14594,3148,1,13,-3,390,-229,-869,38
1551531070,0x6737,-626,5484,4890,100394500,741,339,-554,-305,-555,507,0,-4,-1,3344,784,-2381,1924,14271,2433,7426,2,4,-6,740,332,-550,45
1551531070,0x6724,-2660,9876,4382,100297000,762,522,181,-300,-281,-81,274,147,38,4162,876,-1118,-8150,-10309,1166,-9715,-38,-8,-13,801,531,194,44
1551531070,0x6726,-908,5186,4626,100326750,-923,114,-336,350,254,-1504,1,0,0,3719,-1112,-2582,-4186,11210,-7285,-8496,-4,4,-10,-918,109,-325,40
1551531071,0x6750,-778,9686,4898,100639250,926,57,-310,-603,665,374,57,57,-159,5638,1153,-2581,-9728,-2221,12979,-647,-6,-38,-24,933,96,-286,41
1551531072,0x6735,-322,5238,5292,100409000,-146,31,977,305,481,-240,2,-2,-1,4823,-151,-38,-14243,366,-1343,-7978,14,-8,11,-161,40,966,43
1551531072,0x6737,-603,5508,4918,100395000,740,339,-558,-318,-542,500,-2,-3,0,3344,784,-2381,1924,14271,2433,7426,1,5,-7,740,332,-550,45
1551531072,0x6e36,-1967,8061,4898,100392000,408,32,-907,-364,108,398,571,-239,-813,339,374,-2841,3211,-2949,-15766,-930,19,-5,-8,389,37,-898,42
1551531073,0x6e58,-686,5045,276,100451750,392,-216,-871,-1532,2169,1966,1,3,1,5007,375,2643,2292,6348,-14594,3148,1,13,-11,390,-229,-869,37
1551531073,0x6737,-681,5438,313,100393500,742,336,-556,-318,-566,521,1,1,2,3344,784,-2381,1924,14271,2433,7426,2,6,-9,740,332,-550,45
1551531073,0x6724,-3486,9452,-83,100298750,611,578,286,-267,-312,49,662,789,219,3599,756,-966,-5117,-9069,-2653,-12368,-104,25,-45,720,578,328,44
1551531073,0x6726,-1108,4864,1191,100321250,-923,113,-332,363,224,-1510,1,-2,-1,3719,-1112,-2582,-4186,11210,-7285,-8496,-6,5,-13,-918,109,-325,39
1551531074,0x6750,-1191,9098,56,100637000,560,-790,-358,-225,556,569,-81,-532,663,5084,624,2133,-7387,5095,13409,-2850,-56,-235,163,617,-554,-522,41
1551531074,0x6735,-953,4646,1152,100410250,-146,32,981,312,491,-233,-3,1,0,4823,-151,-38,-14243,366,-1343,-7978,14,-7,15,-161,40,966,43
1551531075,0x6737,-641,5440,269,100394250,741,338,-560,-294,-555,500,2,0,0,3344,784,-2381,1924,14271,2433,7426,1,5,-9,740,332,-550,45
1551531075,0x6e36,-3443,8235,-420,100390250,392,-247,-871,-268,-160,552,173,268,27,3381,400,2717,-341,15347,-4303,3778,-22,-86,2,414,-161,-874,42
1551531075,0x6e58,-607,5026,4910,100449500,393,-214,-871,-1508,2176,1995,0,-2,0,5007,375,2643,2292,6348,-14594,3148,3,14,-1,390,-229,-869,37
1551531076,0x6737,-676,5615,4828,100395500,741,338,-561,-312,-531,515,0,-2,-2,3344,784,-2381,1924,14271,2433,7426,4,7,-12,740,332,-550,45
1551531076,0x6726,-940,5185,4583,100323250,-920,116,-337,363,224,-1510,-1,-5,-1,3719,-1112,-2582,-4186,11210,-7285,-8496,-2,6,-12,-918,109,-325,39
1551531077,0x6750,-1041,9549,405,100639500,867,245,-349,-524,406,459,-369,-180,-136,159,1159,-2263,-10089,-1382,12805,879,-67,61,-118,935,184,-231,41
1551531077,0x6735,-321,5213,5178,100410000,-146,32,979,300,504,-246,-3,-2,1,4823,-151,-38,-14243,366,-1343,-7978,14,-7,12,-161,40,966,43
1551531078,0x6737,-602,5485,4925,100394500,741,335,-564,-305,-548,508,-3,0,0,3344,784,-2381,1924,14271,2433,7426,3,4,-14,740,332,-550,45
1551531078,0x6e36,-2366,8698,4891,100389250,414,-137,-877,-232,-144,544,-43,-9,31,3204,400,2739,-520,15701,-2808,3710,0,-1,0,414,-135,-878,42
1551531078,0x6e58,-669,4996,283,100451500,392,-217,-877,-1526,2188,1966,-3,-3,-1,5007,375,2643,2292,6348,-14594,3148,4,14,-4,390,-229,-869,37
1551531078,0x6737,-521,5332,4662,100394500,740,338,-560,-300,-555,494,-2,-1,-1,3344,784,-2381,1924,14271,2433,7426,0,5,-9,740,332,-550,45
1551531079,0x6724,-2962,10287,281,100301250,919,531,-48,-441,-193,388,211,-285,-562,2552,911,-1553,1987,-8744,-8175,-11010,87,10,24,822,530,-66,44
1551531079,0x6726,-929,5080,4561,100323000,-920,115,-328,363,241,-1510,-1,1,1,3719,-1112,-2582,-4186,11210,-7285,-8496,-1,5,-3,-918,109,-325,40
1551531080,0x6750,-840,9569,4682,100635000,865,109,-307,-510,411,457,-97,-189,188,144,1078,-2455,-9353,-1409,13357,739,-43,-61,20,905,168,-337,41
1551531080,0x6735,-305,5205,5183,100403250,-145,32,971,300,481,-246,3,1,1,4823,-151,-38,-14243,366,-1343,-7978,15,-8,5,-161,40,966,43
1551531081,0x6737,-929,4650,284,100393500,741,336,-560,-305,-542,507,0,1,1,3344,784,-2381,1924,14271,2433,7426,2,5,-17,740,332,-550,45
1551531081,0x6e36,-3314,8582,-321,100393000,424,-28,-885,-238,-216,524,-145,84,-125,3251,394,2829,293,15673,-3221,3511,25,22,0,408,-49,-889,42
1551531081,0x6e58,-631,5080,4948,100453500,391,-216,-875,-1515,2193,1980,-2,-2,1,5007,375,2643,2292,6348,-14594,3148,1,13,-5,390,-229,-869,37
1551531081,0x6737,-677,5386,274,100392750,743,338,-559,-305,-555,529,0,1,0,3344,784,-2381,1924,14271,2433,7426,0,6,-19,740,332,-550,45
1551531082,0x6724,0,0,0,100296750,943,734,-219,-387,-208,385,-377,691,110,2538,864,-1601,2032,-8421,-8783,-10782,158,153,-117,793,566,-101,44
1551531082,0x6726,-1139,4883,1185,100330000,-923,114,-330,345,230,-1504,1,4,0,3719,-1112,-2582,-4186,11210,-7285,-8496,-4,5,-4,-918,109,-325,40
1551531083,0x6750,-654,10521,2349,100638750,876,49,-368,-454,465,478,-151,-36,22,0,1091,-2783,-9203,-566,13543,4,-33,10,-6,910,38,-361,41
1551531083,0x6735,-415,5064,124,100410750,-145,31,965,312,504,-252,2,1,-2,4823,-151,-38,-14243,366,-1343,-7978,13,-8,-1,-161,40,966,43
1551531084,0x6737,-713,5504,297,100391750,742,339,-556,-318,-555,500,2,0,0,3344,784,-2381,1924,14271,2433,7426,2,6,-9,740,332,-550,45
1551531084,0x6e58,-632,5095,4936,100453500,392,-218,-878,-1497,2176,1966,0,7,-2,5007,375,2643,2291,6348,-14594,3147,0,11,-6,390,-229,-869,37
1551531084,0x6737,-621,5305,462,100393750,742,338,-557,-300,-555,500,-2,-3,3,3344,784,-2381,1924,14271,2433,7426,1,5,-7,740,332,-550,45
1551531085,0x6724,-3209,10456,261,100299500,769,424,-196,-451,-168,307,40,590,338,2643,835,-1746,1332,-9194,-8757,-10268,-8,-143,0,775,567,-197,44
1551531085,0x6726,-905,5179,4646,100325500,-921,114,-337,369,254,-1502,-2,3,-1,3719,-1112,-2582,-4186,11210,-7285,-8496,-3,5,-6,-918,109,-325,39
1551531087,0x6735,-322,5239,5246,100411000,-145,32,974,300,510,-259,-1,1,1,4823,-151,-38,-14243,366,-1343,-7978,16,-9,11,-161,40,966,43
1551531088,0x6737,-894,5073,4945,100394750,740,338,-563,-312,-531,508,-4,-3,1,3344,784,-2381,1924,14271,2433,7426,0,5,-12,740,332,-550,45
1551531088,0x6e36,0,0,0,100390500,332,-61,-939,-204,-179,569,125,44,54,3359,304,2801,55,15596,-4168,2795,14,17,-3,320,-78,-923,42
1551531088,0x6e58,-587,5077,4933,100453500,391,-214,-878,-1502,2164,1980,3,-4,0,5007,375,2643,2292,6348,-14594,3148,1,13,-3,390,-229,-869,37
1551531089,0x6737,-571,5339,4479,100393500,742,337,-558,-300,-555,502,-2,-1,-1,3344,784,-2381,1924,14271,2433,7426,2,4,-7,740,332,-550,45
1551531089,0x6724,-2678,9685,4533,100301750,868,459,-153,-507,-17,248,-872,-492,-107,2020,926,-1618,4960,-6319,-10397,-9756,37,-51,-53,830,511,-100,44
1551531089,0x6726,-1080,4874,1202,100325500,-923,114,-330,356,236,-1497,-1,4,2,3719,-1112,-2582,-4186,11210,-7285,-8496,-4,5,-5,-918,109,-325,39
1551531090,0x6750,-3252,9273,5219,100640000,985,-98,-115,-747,344,307,324,-118,-237,4534,1164,1701,-8707,-4461,11202,-6872,57,187,-45,936,-278,-81,41
1551531091,0x6735,-325,5178,5142,100419500,-145,32,974,305,491,-252,1,-1,2,4823,-151,-38,-14243,366,-1343,-7978,16,-7,7,-161,40,966,43
1551531091,0x6737,-913,5153,264,100396750,741,338,-558,-312,-548,523,2,-1,0,3344,784,-2381,1924,14271,2433,7426,1,5,-7,740,332,-550,45
1551531091,0x6e36,-1700,8401,718,100392250,386,-66,-892,-468,-57,444,-17,37,109,4534,358,2802,2096,9951,-12604,2483,12,9,10,373,-76,-903,42
1551531092,0x6e58,-586,5079,4939,100454750,392,-215,-881,-1515,2188,1988,-2,1,0,5007,375,2643,2293,6348,-14594,3148,1,13,-12,390,-229,-869,37
1551531092,0x6737,-522,5169,4448,100395750,743,337,-567,-318,-542,494,-1,2,-2,3344,784,-2381,1924,14271,2433,7426,3,4,-17,740,332,-550,45
1551531092,0x6724,-3300,9007,414,100300750,825,474,-185,-481,-64,332,-327,-16,-146,2339,968,-1731,3097,-8781,-8820,-10196,-35,13,-45,853,458,-151,44
1551531092,0x6726,-1128,4863,1196,100324000,-921,115,-336,369,230,-1516,-3,0,0,3719,-1112,-2582,-4186,11210,-7285,-8496,-2,6,-10,-918,109,-325,39
1551531093,0x6734,0,0,0,100382750,-366,336,-837,-172,-729,705,-6,-19,7,3871,-345,-2522,-964,-13547,8134,4222,-5,-9,5,-360,346,-843,46
1551531094,0x6750,-1721,9517,4,100633500,324,-738,-569,-398,409,1419,-528,-211,983,4249,464,2090,-5163,1679,14417,-5577,-150,-87,-11,483,-648,-553,41
1551531094,0x6735,-404,5066,68,100412250,-145,31,981,294,486,-246,4,1,2,4823,-151,-38,-14243,366,-1343,-7978,16,-7,7,-161,40,966,43
1551531094,0x6737,-622,5300,584,100391500,742,339,-555,-305,-542,502,-2,-4,0,3344,784,-2381,1924,14271,2433,7426,0,4,-5,740,332,-550,45
